hall_id,result_date,event_name,machine_key,machine_name,unit_numbers,unit_count,winning_units,avg_diff,avg_games,rate_scope,source_name,notes
tsurumi_aviva,2026-04-10,スロぱちガール来店PS（選抜4台箇所）／1163〜1167,okidoki_gorgeous,沖ドキ！ゴージャス,1163|1167,4,3,3580,4480,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1163〜1167。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%904%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81%E6%94%BB/
tsurumi_aviva,2026-04-10,スロぱちガール来店PS（選抜4台箇所）／1518〜1522,koukaku,スマスロ 攻殻機動隊,1518|1522,4,3,3820,8640,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1518〜1522。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%904%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81%E6%94%BB/
tsurumi_aviva,2026-04-10,スロぱちガール来店PS（選抜4台箇所）／1336〜1350,kabaneri_kaimon,スマスロ 甲鉄城のカバネリ 海門決戦,1336|1350,4,3,2770,8410,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1336〜1350。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%904%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81%E6%94%BB/
tsurumi_aviva,2026-04-10,スロぱちガール来店PS（選抜4台箇所）／1071〜1075,neo_aim,ネオアイムジャグラーEX,1071|1075,4,1,920,3660,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1071〜1075。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%904%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81%E6%94%BB/
tsurumi_aviva,2026-04-10,スロぱちガール来店PS（選抜4台箇所）／1018〜1022,my_juggler_v,マイジャグラーV,1018|1022,4,4,1170,7460,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1018〜1022。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%904%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81%E6%94%BB/
tsurumi_aviva,2026-04-10,スロぱちガール来店PS（選抜4台箇所）／1663〜1667,hokuto_tensei2,スマスロ北斗の拳 転生の章2,1663|1667,4,2,770,8780,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1663〜1667。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%904%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81%E6%94%BB/
tsurumi_aviva,2026-04-10,スロぱちガール来店PS（選抜4台箇所）／記事内4台（台番非記載）,smart_hanabi,スマスロ ハナビ,4,4,3,440,5430,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 記事内4台（台番非記載）。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%904%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81%E6%94%BB/
tsurumi_aviva,2026-04-10,スロぱちガール来店PS（選抜4台箇所）／1528〜1532,bakemonogatari,スマスロ化物語,1528|1532,4,2,190,8660,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1528〜1532。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%904%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81%E6%94%BB/
tsurumi_aviva,2026-04-10,スロぱちガール来店PS（選抜4台箇所）／1313〜1317,tokyo_ghoul,L東京喰種,1313|1317,4,1,-3140,10190,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1313〜1317。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%904%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81%E6%94%BB/
tsurumi_aviva,2026-05-10,スロぱちガール来店PS（選抜4台箇所）／1675〜1678,hokuto_tensei2,スマスロ北斗の拳 転生の章2,1675|1678,4,4,6180,8420,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1675〜1678。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%905%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81%E5%8C%97/
tsurumi_aviva,2026-05-10,スロぱちガール来店PS（選抜4台箇所）／1503〜1507,tokyo_ghoul,L東京喰種,1503|1507,4,2,3920,6600,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1503〜1507。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%905%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81%E5%8C%97/
tsurumi_aviva,2026-05-10,スロぱちガール来店PS（選抜4台箇所）／1311〜1315,vvv2,L革命機ヴァルヴレイヴ2,1311|1315,4,2,3650,7270,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1311〜1315。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%905%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81%E5%8C%97/
tsurumi_aviva,2026-05-10,スロぱちガール来店PS（選抜4台箇所）／1281〜1285,smart_god,スマスロ ミリオンゴッド-神々の軌跡-,1281|1285,4,3,4480,9910,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1281〜1285。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%905%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81%E5%8C%97/
tsurumi_aviva,2026-05-10,スロぱちガール来店PS（選抜4台箇所）／1670〜1673,hokuto_tensei2,スマスロ北斗の拳 転生の章2,1670|1673,4,3,3160,7990,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1670〜1673。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%905%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81%E5%8C%97/
tsurumi_aviva,2026-05-10,スロぱちガール来店PS（選抜4台箇所）／攻殻1538＋無職転生3台,cross_koukaku_mushoku,攻殻機動隊×無職転生（機種跨ぎ）,1538|3,4,3,2660,6790,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 攻殻1538＋無職転生3台。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%905%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81%E5%8C%97/
tsurumi_aviva,2026-05-10,スロぱちガール来店PS（選抜4台箇所）／1520〜1523,karakuri,Lパチスロからくりサーカス,1520|1523,4,3,2280,6900,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1520〜1523。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%905%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81%E5%8C%97/
tsurumi_aviva,2026-05-10,スロぱちガール来店PS（選抜4台箇所）／1301〜1305,smart_god,スマスロ ミリオンゴッド-神々の軌跡-,1301|1305,4,3,3110,9630,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1301〜1305。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%905%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81%E5%8C%97/
tsurumi_aviva,2026-05-10,スロぱちガール来店PS（選抜4台箇所）／記事内4台（台番非記載）,cross_iza_bofuri,いざ！番長×防振り（機種跨ぎ）,4,4,2,1400,7210,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 記事内4台（台番非記載）。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%905%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81%E5%8C%97/
tsurumi_aviva,2026-06-10,スロぱちガール来店PS（選抜4台箇所）／1263〜1267,hokuto_tensei2,スマスロ北斗の拳 転生の章2,1263|1267,4,2,4620,4550,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1263〜1267。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%906%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81sao2%E3%81%8C/
tsurumi_aviva,2026-06-10,スロぱちガール来店PS（選抜4台箇所）／1527〜1531,sao2,スロット ソードアート・オンラインⅡ,1527|1531,4,4,6390,10070,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1527〜1531。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%906%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81sao2%E3%81%8C/
tsurumi_aviva,2026-06-10,スロぱちガール来店PS（選抜4台箇所）／ゴッドイーター3台＋とある1230,cross_godeater_railgun2,ゴッドイーター×とある超電磁砲2（機種跨ぎ）,3|1230,4,3,1260,4500,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: ゴッドイーター3台＋とある1230。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%906%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81sao2%E3%81%8C/
tsurumi_aviva,2026-06-10,スロぱちガール来店PS（選抜4台箇所）／1075〜1078,neo_aim,ネオアイムジャグラーEX,1075|1078,4,4,1250,6350,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1075〜1078。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%906%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81sao2%E3%81%8C/
tsurumi_aviva,2026-06-10,スロぱちガール来店PS（選抜4台箇所）／1373〜1377,sengoku_otome5,L戦国乙女5,1373|1377,4,3,1660,10320,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1373〜1377。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%906%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81sao2%E3%81%8C/
tsurumi_aviva,2026-06-10,スロぱちガール来店PS（選抜4台箇所）／1030〜1033,my_juggler_v,マイジャグラーV,1030|1033,4,3,630,5770,46coin_335_selected_blocks_not_full_hall,slopachi_selected_report,記事表記の位置: 1030〜1033。媒体が結果後に選抜した4台ブロック。全335台平均・ランダム標本ではないため、店日予測へ直接入力しない。 source=https://777.slopachi-station.com/%E3%80%906%E6%9C%8810%E6%97%A5-%E3%82%A2%E3%83%93%E3%83%90%E9%B6%B4%E8%A6%8B%E5%BA%97%E3%80%91%E3%82%B9%E3%83%AD%E3%81%B1%E3%81%A1%E3%82%AC%E3%83%BC%E3%83%AB%E6%9D%A5%E5%BA%97ps%EF%BC%81sao2%E3%81%8C/
